creator,title,link,pubDate,author,content:encoded,content:encodedSnippet,enclosure.url,enclosure.length,enclosure.type,content,contentSnippet,guid,isoDate,itunes.author,itunes.summary,itunes.explicit,itunes.duration,itunes.episode,itunes.keywords,itunes.episodeType,itunes.image
Bronson Walker,Experiencing How History Felt | #192 CHATGPT,https://share.transistor.fm/s/43dfabd0,"Thu, 16 Oct 2025 07:00:00 -0400",Bronson Walker,"
        <p>We pick obscure days, slip into characters—from Anders at a 1904 Norwegian telegraph, to Calista in Alexandria, to Ameena in 14th‑century Timbuktu—sensory details and surprising encounters and quiet discoveries unfold.</p>
      ","We pick obscure days, slip into characters—from Anders at a 1904 Norwegian telegraph, to Calista in Alexandria, to Ameena in 14th‑century Timbuktu—sensory details and surprising encounters and quiet discoveries unfold.",https://media.transistor.fm/43dfabd0/84ccaae1.mp3,39207013,audio/mpeg,"
        <p>We pick obscure days, slip into characters—from Anders at a 1904 Norwegian telegraph, to Calista in Alexandria, to Ameena in 14th‑century Timbuktu—sensory details and surprising encounters and quiet discoveries unfold.</p>
      ","We pick obscure days, slip into characters—from Anders at a 1904 Norwegian telegraph, to Calista in Alexandria, to Ameena in 14th‑century Timbuktu—sensory details and surprising encounters and quiet discoveries unfold.",3b06d73d-aa58-42d7-ab7c-0906a38d2625,2025-10-16T11:00:00.000Z,Bronson Walker,"
        <p>We pick obscure days, slip into characters—from Anders at a 1904 Norwegian telegraph, to Calista in Alexandria, to Ameena in 14th‑century Timbuktu—sensory details and surprising encounters and quiet discoveries unfold.</p>
      ",No,2446,192,"historical-fiction, immersive-storytelling, first-person, sensory-detail, telegraphy, library-of-alexandria, timbuktu, scribes, creative-writing, oral-history",full,
Bronson Walker,"How Gen Z Toppled the Nepalese Government | #191 COPILOT, CHATGPT",https://share.transistor.fm/s/d94481e1,"Wed, 15 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We set the scene in Kathmandu and trace the Sept 4–12 uprising—from a social‑media ban and a ₹14 billion airport embezzlement to deadly police crackdowns, the storming of the government complex, and an interim transition.</p>
      ","We set the scene in Kathmandu and trace the Sept 4–12 uprising—from a social‑media ban and a ₹14 billion airport embezzlement to deadly police crackdowns, the storming of the government complex, and an interim transition.",https://media.transistor.fm/d94481e1/bb3808fc.mp3,40135739,audio/mpeg,"
        <p>We set the scene in Kathmandu and trace the Sept 4–12 uprising—from a social‑media ban and a ₹14 billion airport embezzlement to deadly police crackdowns, the storming of the government complex, and an interim transition.</p>
      ","We set the scene in Kathmandu and trace the Sept 4–12 uprising—from a social‑media ban and a ₹14 billion airport embezzlement to deadly police crackdowns, the storming of the government complex, and an interim transition.",3215b5d9-77e6-4faf-8709-bc2221ac3335,2025-10-15T09:00:00.000Z,Bronson Walker,"
        <p>We set the scene in Kathmandu and trace the Sept 4–12 uprising—from a social‑media ban and a ₹14 billion airport embezzlement to deadly police crackdowns, the storming of the government complex, and an interim transition.</p>
      ",No,2504,191,"Nepal uprising, Gen Z protests, Social media ban, Government corruption, Pokhara airport scandal, Police brutality, Kathmandu protests, Interim prime minister, Anti-corruption watchdog, Diaspora solidarity",full,
Bronson Walker,Creative Ways to Move the Needle on Book Sales | #190 CHATGPT,https://share.transistor.fm/s/13c50175,"Tue, 14 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We brainstorm practical, low-friction tools to get Claude Silver’s Be Yourself at Work into libraries—building playful landing pages, ISBN request widgets, reverse-proxy branding, school‑library templates, and outreach strategies.</p>
      ","We brainstorm practical, low-friction tools to get Claude Silver’s Be Yourself at Work into libraries—building playful landing pages, ISBN request widgets, reverse-proxy branding, school‑library templates, and outreach strategies.",https://media.transistor.fm/13c50175/6dba4602.mp3,67316039,audio/mpeg,"
        <p>We brainstorm practical, low-friction tools to get Claude Silver’s Be Yourself at Work into libraries—building playful landing pages, ISBN request widgets, reverse-proxy branding, school‑library templates, and outreach strategies.</p>
      ","We brainstorm practical, low-friction tools to get Claude Silver’s Be Yourself at Work into libraries—building playful landing pages, ISBN request widgets, reverse-proxy branding, school‑library templates, and outreach strategies.",04374f4a-e1ea-4595-a02e-4000da8e7d37,2025-10-14T09:00:00.000Z,Bronson Walker,"
        <p>We brainstorm practical, low-friction tools to get Claude Silver’s Be Yourself at Work into libraries—building playful landing pages, ISBN request widgets, reverse-proxy branding, school‑library templates, and outreach strategies.</p>
      ",No,4203,190,"book promotion, library purchase requests, Be Yourself at Work, Claude Silver, landing page, microsite, high school libraries, book marketing, user outreach, interactive tool",full,
Bronson Walker,Book Promotion Creative Strategy Meeting | #189 CHATGPT,https://share.transistor.fm/s/60754ad1,"Mon, 13 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We brainstorm a grassroots book launch: build a city-to-library purchase-request tool, a one-pin reader map with optional notes, and a future-self time-capsule email—covering tech, costs, moderation, and rollout.</p>
      ","We brainstorm a grassroots book launch: build a city-to-library purchase-request tool, a one-pin reader map with optional notes, and a future-self time-capsule email—covering tech, costs, moderation, and rollout.",https://media.transistor.fm/60754ad1/1b344366.mp3,61491354,audio/mpeg,"
        <p>We brainstorm a grassroots book launch: build a city-to-library purchase-request tool, a one-pin reader map with optional notes, and a future-self time-capsule email—covering tech, costs, moderation, and rollout.</p>
      ","We brainstorm a grassroots book launch: build a city-to-library purchase-request tool, a one-pin reader map with optional notes, and a future-self time-capsule email—covering tech, costs, moderation, and rollout.",e8626835-cb1f-4f4f-b265-e3a217b5dbf7,2025-10-13T09:00:00.000Z,Bronson Walker,"
        <p>We brainstorm a grassroots book launch: build a city-to-library purchase-request tool, a one-pin reader map with optional notes, and a future-self time-capsule email—covering tech, costs, moderation, and rollout.</p>
      ",No,3839,189,"book-promotion, grassroots, library-requests, community-engagement, interactive-map, time-capsule, email-verification, workplace-authenticity, geocoding, UX",full,
Bronson Walker,Recap & Outline of Act 1 | #188 NOTEBOOK LM,https://share.transistor.fm/s/6648979f,"Sat, 04 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We dig through a 459‑page dossier, unpack Act One beat‑by‑beat: Adrian’s quiet collapse via scopolamine‑laced clay, Victor’s revenge, the cats’ intuition, and Olivia’s shattering low that ignites her arc.</p>
      ","We dig through a 459‑page dossier, unpack Act One beat‑by‑beat: Adrian’s quiet collapse via scopolamine‑laced clay, Victor’s revenge, the cats’ intuition, and Olivia’s shattering low that ignites her arc.",https://media.transistor.fm/6648979f/7aebf23d.mp3,55814623,audio/mpeg,"
        <p>We dig through a 459‑page dossier, unpack Act One beat‑by‑beat: Adrian’s quiet collapse via scopolamine‑laced clay, Victor’s revenge, the cats’ intuition, and Olivia’s shattering low that ignites her arc.</p>
      ","We dig through a 459‑page dossier, unpack Act One beat‑by‑beat: Adrian’s quiet collapse via scopolamine‑laced clay, Victor’s revenge, the cats’ intuition, and Olivia’s shattering low that ignites her arc.",76e2eea0-38b5-4f49-b964-78d0b879e49d,2025-10-04T09:00:00.000Z,Bronson Walker,"
        <p>We dig through a 459‑page dossier, unpack Act One beat‑by‑beat: Adrian’s quiet collapse via scopolamine‑laced clay, Victor’s revenge, the cats’ intuition, and Olivia’s shattering low that ignites her arc.</p>
      ",No,3484,188,"psychological thriller, scopolamine, pottery, father-daughter, family trauma, unreliable reality, human-AI collaboration, cat perspective, chapter breakdown, narrative structure",full,
Bronson Walker,Derpy (The K-Pop Demon Hunters Tiger) Halloween Costume | #187 GROK,https://share.transistor.fm/s/ac0ff6ac,"Fri, 03 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We trace Derpy's roots in Korean folk tiger art, compare East Asian tiger myths, and walk step-by-step through building a derpy K-pop mascot head — foam, batting, fur, ears.</p>
      ","We trace Derpy's roots in Korean folk tiger art, compare East Asian tiger myths, and walk step-by-step through building a derpy K-pop mascot head — foam, batting, fur, ears.",https://media.transistor.fm/ac0ff6ac/07c8a766.mp3,65398030,audio/mpeg,"
        <p>We trace Derpy's roots in Korean folk tiger art, compare East Asian tiger myths, and walk step-by-step through building a derpy K-pop mascot head — foam, batting, fur, ears.</p>
      ","We trace Derpy's roots in Korean folk tiger art, compare East Asian tiger myths, and walk step-by-step through building a derpy K-pop mascot head — foam, batting, fur, ears.",1b829edc-c363-4461-b860-1817ae8fc14a,2025-10-03T09:00:00.000Z,Bronson Walker,"
        <p>We trace Derpy's roots in Korean folk tiger art, compare East Asian tiger myths, and walk step-by-step through building a derpy K-pop mascot head — foam, batting, fur, ears.</p>
      ",No,4083,187,"derpy, kpop, demonhunters, folkart, tiger, folklore, cosplay, evafoam, diy, halloween",full,
Bronson Walker,Exploring Augmented Reality's Impact on Human Communication | #186 CHATGPT,https://share.transistor.fm/s/95785703,"Thu, 02 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We explore how AR reshapes communication: safe activist meetings and drone projections, empathy-building virtual dinners and double-dates, cross-cultural exchanges, translation aids, the tricky new norms around personal space, trolling.</p>
      ","We explore how AR reshapes communication: safe activist meetings and drone projections, empathy-building virtual dinners and double-dates, cross-cultural exchanges, translation aids, the tricky new norms around personal space, trolling.",https://media.transistor.fm/95785703/12a1b125.mp3,63571137,audio/mpeg,"
        <p>We explore how AR reshapes communication: safe activist meetings and drone projections, empathy-building virtual dinners and double-dates, cross-cultural exchanges, translation aids, the tricky new norms around personal space, trolling.</p>
      ","We explore how AR reshapes communication: safe activist meetings and drone projections, empathy-building virtual dinners and double-dates, cross-cultural exchanges, translation aids, the tricky new norms around personal space, trolling.",2cf3fd69-9e33-4bcf-82cd-a40c68df5662,2025-10-02T09:00:00.000Z,Bronson Walker,"
        <p>We explore how AR reshapes communication: safe activist meetings and drone projections, empathy-building virtual dinners and double-dates, cross-cultural exchanges, translation aids, the tricky new norms around personal space, trolling.</p>
      ",No,3969,186,"AR, empathy, telepresence, drones, projection, activism, protest, diplomacy, cross-cultural, etiquette",full,
Bronson Walker,"Story 1: End of Act 1, Start of Act 2 | #185 CHATGPT",https://share.transistor.fm/s/aea81c66,"Wed, 01 Oct 2025 05:00:00 -0400",Bronson Walker,"
        <p>We recap and sharpen Act One: plotting an antagonist systematically isolating a father, the detective cats notice, Lily drifts closer, and Olivia’s homecoming solo collapses—ending with her stranded in the rain.</p>
      ","We recap and sharpen Act One: plotting an antagonist systematically isolating a father, the detective cats notice, Lily drifts closer, and Olivia’s homecoming solo collapses—ending with her stranded in the rain.",https://media.transistor.fm/aea81c66/4353cdc9.mp3,79675909,audio/mpeg,"
        <p>We recap and sharpen Act One: plotting an antagonist systematically isolating a father, the detective cats notice, Lily drifts closer, and Olivia’s homecoming solo collapses—ending with her stranded in the rain.</p>
      ","We recap and sharpen Act One: plotting an antagonist systematically isolating a father, the detective cats notice, Lily drifts closer, and Olivia’s homecoming solo collapses—ending with her stranded in the rain.",d9180374-b597-46da-94bc-364487d11851,2025-10-01T09:00:00.000Z,Bronson Walker,"
        <p>We recap and sharpen Act One: plotting an antagonist systematically isolating a father, the detective cats notice, Lily drifts closer, and Olivia’s homecoming solo collapses—ending with her stranded in the rain.</p>
      ",Yes,4975,185,"storytelling, psychological-manipulation, family-drama, sibling-dynamics, anthropomorphic-cats, homecoming, foreshadowing, Shakespearean-influence, plot-brainstorming, character-development",full,
Bronson Walker,"The Impassible Ardennes Forest, Feat. The Nazis | #184 INPUT CO-HOSTS",https://share.transistor.fm/s/e31e7dcc,"Tue, 30 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>We set the scene for May 1940, unpack why Germans chose Ardennes, trace five-day Panzer blitz from Sedan to Dunkirk, expose missed reconnaissance, soldier vignettes, and lessons on flawed assumptions.</p>
      ","We set the scene for May 1940, unpack why Germans chose Ardennes, trace five-day Panzer blitz from Sedan to Dunkirk, expose missed reconnaissance, soldier vignettes, and lessons on flawed assumptions.",https://media.transistor.fm/e31e7dcc/d34b350b.mp3,47413666,audio/mpeg,"
        <p>We set the scene for May 1940, unpack why Germans chose Ardennes, trace five-day Panzer blitz from Sedan to Dunkirk, expose missed reconnaissance, soldier vignettes, and lessons on flawed assumptions.</p>
      ","We set the scene for May 1940, unpack why Germans chose Ardennes, trace five-day Panzer blitz from Sedan to Dunkirk, expose missed reconnaissance, soldier vignettes, and lessons on flawed assumptions.",75bbe21f-ceca-4f2f-8fa2-ee43d8eccad5,2025-09-30T09:00:00.000Z,Bronson Walker,"
        <p>We set the scene for May 1940, unpack why Germans chose Ardennes, trace five-day Panzer blitz from Sedan to Dunkirk, expose missed reconnaissance, soldier vignettes, and lessons on flawed assumptions.</p>
      ",No,2959,184,"Ardennes, Blitzkrieg, Maginot Line, Fall of France, Panzer divisions, Erich von Manstein, Meuse River, Dunkirk evacuation, Military logistics, 1940 Western Campaign",full,
Bronson Walker,N8N | <3 #182 CHATGPT,https://share.transistor.fm/s/abe0232b,"Fri, 19 Sep 2025 05:00:00 -0400",Bronson Walker,"
        <p>The origins of digital workflow automation, using it as a back-end engine, and learning through real world examples.   </p>
      ","The origins of digital workflow automation, using it as a back-end engine, and learning through real world examples.",https://media.transistor.fm/abe0232b/9a532484.mp3,41512453,audio/mpeg,"
        <p>The origins of digital workflow automation, using it as a back-end engine, and learning through real world examples.   </p>
      ","The origins of digital workflow automation, using it as a back-end engine, and learning through real world examples.",4983842e-17b2-4898-8751-2021927e325a,2025-09-19T09:00:00.000Z,Bronson Walker,"
        <p>The origins of digital workflow automation, using it as a back-end engine, and learning through real world examples.   </p>
      ",No,2590,182,"AI, chatgpt, gemini, meta, LLM, grok",full,
